,0
TF_IDF,0.4583734360472571
InL2,0.4526992307553577
DFR_BM25,0.4514549969000541
BM25,0.4501059687869007
Js_KLs,0.44525028038030884
DLH13,0.444818707416408
LGD,0.4446028004520345
DFRee,0.44457669256968496
DFReeKLIM,0.44279212706376514
PL2,0.4404931927349483
DPH,0.4344607195047609
DFIZ,0.4344196261396847
DFIC,0.43351813241582066
DLH,0.4322926998474486
In_expB2,0.43223186632337507
InB2,0.4310893533717868
IFB2,0.430136299192917
BB2,0.4292600762126158
In_expC2,0.42838180887520105
Hiemstra_LM,0.4232071418675751
XSqrA_M,0.4216626299478441
LemurTF_IDF,0.4153316807357596
DirichletLM,0.3737224563101367
CoordinateMatch,0.21284064807833417
Tf,0.12876845014902003
Dl,0.006841560604170869
Null,6.777813800493136e-05
