,tran_0,tran_0_fb_terms,tran_1,tran_1_fb_docs,map
0,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,0.31777510241017376
1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",3,0.35745964249173234
2,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",5,0.32158078836862714
3,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",7,0.3250035763559187
4,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",9,0.32029288854720667
5,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",11,0.33779687176979245
6,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",13,0.31976667080442833
7,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",15,0.3167067493114545
8,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",17,0.3142535763951287
9,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",19,0.3129664041113392
10,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",21,0.3053641018721237
11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",23,0.30190583821880246
12,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",25,0.306105705191261
13,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",27,0.30845684948775814
14,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",29,0.3137112486174273
15,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",1,0.32645300484713485
16,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",3,0.35599380865335156
17,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",5,0.3326280221177994
18,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",7,0.32647364294949605
19,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",9,0.32525487602098174
20,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",11,0.3352660020261276
21,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",13,0.3196559547074766
22,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",11,"QueryExpansion(/home/pavel/Devel/school/information_retrieval/A2/../pd_index/data.properties,29,91,<org.terrier.querying.QueryExpansion at 0x7f264db4bf60 jclass=org/terrier/querying/QueryExpansion jself=<LocalRef obj=0x3eb3910 at 0x7f264db37010>>)",15,0.3223073885268152
