,0
In_expB2,0.3834280836247247
In_expC2,0.38334768624620724
InB2,0.37993579672034344
TF_IDF,0.3725055333870133
InL2,0.37014400472356734
DLH13,0.36400820912396414
DFRee,0.3587835838210548
LemurTF_IDF,0.3580437050447316
Js_KLs,0.35757560078613615
BM25,0.3573379342607741
DFR_BM25,0.3572616441977026
LGD,0.3564682103212549
DLH,0.35589635712700735
DFReeKLIM,0.3534808308150454
DPH,0.35331213086871094
XSqrA_M,0.3489638405973848
BB2,0.34859603719794147
DFIZ,0.3465938998719946
PL2,0.34496993497889616
DFIC,0.3431431799393288
Hiemstra_LM,0.3283287029064914
IFB2,0.3037549768414923
DirichletLM,0.28870605564605595
CoordinateMatch,0.18273973116578762
Tf,0.05756667112802904
Dl,0.005593835332929219
Null,0.00044713510561950775
