,0
LGD,0.4100052756923562
Js_KLs,0.40907791383949743
DPH,0.40855628152435974
DFRee,0.4060233472714186
DFReeKLIM,0.40348777220928483
DFR_BM25,0.4014656733532778
DLH13,0.4012453422941884
InL2,0.39858944437803134
BM25,0.39693417824890986
In_expB2,0.3965671875246206
DFIZ,0.39647304612856243
TF_IDF,0.39580694417926
InB2,0.3952364623728187
In_expC2,0.3950723723214351
DFIC,0.3948871722670442
BB2,0.39374425416922443
IFB2,0.3935856073020148
XSqrA_M,0.3923768984638205
PL2,0.392360824240112
DLH,0.3815765226595165
LemurTF_IDF,0.3806491955315087
Hiemstra_LM,0.3531612817777478
DirichletLM,0.29462901662257435
CoordinateMatch,0.22313188570800907
Tf,0.13741267558016187
Dl,0.005040614861268084
Null,0.00046882377721806193
