,0
In_expC2,0.3588237015814262
In_expB2,0.35632383406840323
LemurTF_IDF,0.35604102260302356
InL2,0.3485253190066211
InB2,0.3482413398919417
TF_IDF,0.34407568983631653
DLH13,0.3406413709077555
DPH,0.3398434668154014
DLH,0.337002344923262
LGD,0.33606073445479645
Js_KLs,0.3342167278231626
DFRee,0.33409511643580986
DFReeKLIM,0.33306205524637955
BM25,0.3317786206212189
Hiemstra_LM,0.3310944441928666
DFR_BM25,0.3295317009602929
PL2,0.32335569323595237
DFIC,0.320807155161882
XSqrA_M,0.319643150418118
BB2,0.3154624528866734
DFIZ,0.3145726560780259
DirichletLM,0.22679603463892092
IFB2,0.1983716236924959
CoordinateMatch,0.10952240459063611
Tf,0.011289586828098178
Null,0.003821440845188348
Dl,0.0014211738604482692
